"sample"	"score"
"TGL49_0003_Cf_U_PE_318_WG"	-0.760201578380532
"TGL49_0004_Cf_U_PE_319_WG"	-0.676043326382112
"TGL49_0007_Cf_U_PE_314_WG"	-0.536920136746782
"TGL49_0007_Pb_n_PE_301_WG"	-0.656786755302245
"TGL49_0007_Pb_n_PE_302_WG"	-0.544433770143386
"TGL49_0007_Pb_n_PE_453_WG"	-0.858191249414905
"TGL49_0007_Pb_n_PE_475_WG"	-0.91125721642312
"TGL49_0009_Cf_U_PE_312_WG"	-0.332650825623181
"TGL49_0018_Cf_U_PE_308_WG"	-0.59673104531136
"TGL49_0018_Cf_U_PE_320_WG"	-0.5086080565623
"TGL49_0018_Cf_U_PE_321_WG"	-0.615952336719506
"TGL49_0018_Cf_U_PE_323_WG"	-0.10726716518684
"TGL49_0019_Cf_U_PE_315_WG"	-0.573520887528745
"TGL49_0019_Cf_U_PE_317_WG"	-0.69529489921697
"TGL49_0019_Cf_U_PE_324_WG"	-0.726915220579611
"TGL49_0019_Cf_U_PE_326_WG"	-0.405693512608932
"TGL49_0022_Cf_U_PE_310_WG"	-0.571034535958399
"TGL49_0022_Cf_U_PE_315_WG"	-0.722925383011139
"TGL49_0022_Cf_U_PE_316_WG"	-0.684910731181684
"TGL49_0022_Cf_U_PE_317_WG"	-0.593629681691816
"TGL49_0022_Cf_U_PE_320_WG"	-0.639885736783721
"TGL49_0022_Cf_U_PE_322_WG"	-0.587927747508992
"TGL49_0022_Pb_n_PE_305_WG"	-0.580118815317961
"TGL49_0022_Pb_n_PE_306_WG"	-0.524773139550991
"TGL49_0022_Pb_n_PE_307_WG"	-0.61668324596716
"TGL49_0022_Pb_n_PE_427_WG"	-0.716946929690986
"TGL49_0024_Cf_U_PE_311_WG"	-0.578825859619705
"TGL49_0024_Cf_U_PE_318_WG"	-0.576292861988516
"TGL49_0025_Cf_U_PE_310_WG"	-0.612632543378405
"TGL49_0025_Cf_U_PE_313_WG"	-0.502216576437047
"TGL49_0025_Cf_U_PE_316_WG"	-0.679082806337801
"TGL49_0025_Cf_U_PE_317_WG"	-0.456098516046872
"TGL49_0025_Cf_U_PE_321_WG"	-0.0669816563129889
"TGL49_0025_Cf_U_PE_322_WG"	-0.582896269088879
"TGL49_0025_Pb_n_PE_309_WG"	-0.253314073263646
"TGL49_0025_Pb_n_PE_311_WG"	-0.387618875270684
"TGL49_0025_Pb_n_PE_421_WG"	-0.687832725612921
"TGL49_0026_Cf_U_PE_314_WG"	-0.532215800004839
"TGL49_0026_Cf_U_PE_320_WG"	-0.550790107953015
"TGL49_0028_Cf_n_PE_359_WG"	-0.700659347767208
"TGL49_0028_Cf_U_PE_311_WG"	-0.510987199947274
"TGL49_0029_Cf_n_PE_321_WG"	-0.523491685695775
"TGL49_0029_Cf_n_PE_335_WG"	-0.606816441936353
"TGL49_0029_Cf_U_PE_314_WG"	-0.662351409005632
"TGL49_0029_Cf_U_PE_360_WG"	-0.496739551534523
"TGL49_0030_Cf_U_PE_313_WG"	-0.641627738590181
"TGL49_0031_Cf_n_PE_379_WG"	-0.773319758632412
"TGL49_0031_Cf_n_PE_551_WG"	-0.759037704053984
"TGL49_0031_Cf_U_PE_314_WG"	-0.757098795343056
"TGL49_0032_Cf_U_PE_311_WG"	-0.307221855304042
"TGL49_0033_Cf_U_PE_313_WG"	-0.525608007483142
"TGL49_0034_Cf_n_PE_412_WG"	-0.480979129497314
"TGL49_0034_Cf_n_PE_619_WG"	-0.384145323018353
"TGL49_0034_Cf_U_PE_308_WG"	-0.404529972019214
"TGL49_0035_Cf_U_PE_310_WG"	-0.756264296325483
"TGL49_0036_Cf_U_PE_317_WG"	-0.525013783968307
"TGL49_0037_Cf_U_PE_315_WG"	-0.40554417988682
"TGL49_0038_Cf_U_PE_302_WG"	-0.304752188560132
"TGL49_0039_Cf_n_PE_518_WG"	-0.703402718320576
