"sample"	"score"
"TGL49_0007_Pb_n_PE_439_TS"	-0.731621731206143
"TGL49_0007_Pb_n_PE_468_TS"	-0.580917650842369
"TGL49_0018_Cf_U_PE_402_TS"	-0.53814446345636
"TGL49_0022_Pb_n_PE_451_TS"	-0.532895047900736
"TGL49_0025_Cf_U_PE_334_TS"	-0.135129842465393
"TGL49_0025_Cf_U_PE_394_TS"	-0.595539214013723
"TGL49_0025_Pb_n_PE_452_TS"	-0.502859398527308
"TGL49_0028_Cf_n_PE_384_TS"	-0.727484098975303
"TGL49_0028_Cf_U_PE_329_TS"	-0.580130648772132
"TGL49_0029_Cf_n_PE_393_TS"	-0.571852618415879
"TGL49_0029_Cf_n_PE_397_TS"	-0.537078906540673
"TGL49_0029_Cf_U_PE_330_TS"	-0.580193517233927
"TGL49_0029_Cf_U_PE_381_TS"	-0.47759480552482
"TGL49_0030_Cf_U_PE_331_TS"	-0.645950648395224
"TGL49_0031_Cf_n_PE_392_TS"	-0.698077578570235
"TGL49_0031_Cf_n_PE_401_TS"	-0.600755463075187
"TGL49_0031_Cf_U_PE_396_TS"	-0.625905565414906
"TGL49_0032_Cf_U_PE_381_TS"	-0.316523945699291
"TGL49_0033_Cf_U_PE_383_TS"	-0.495945084148785
"TGL49_0034_Cf_n_PE_377_TS"	-0.514939996174895
"TGL49_0034_Cf_n_PE_382_TS"	-0.448466401250906
"TGL49_0034_Cf_U_PE_344_TS"	-0.427979019734466
"TGL49_0035_Cf_U_PE_370_TS"	-0.750663674602433
"TGL49_0036_Cf_U_PE_337_TS"	-0.406273684438087
"TGL49_0037_Cf_U_PE_323_TS"	-0.418795109273707
"TGL49_0038_Cf_U_PE_329_TS"	-0.300744042087265
"TGL49_0039_Cf_n_PE_394_TS"	-0.708921409006796
"TGL49_0039_Cf_n_PE_402_TS"	-0.577505824330061
"TGL49_0039_Cf_n_PE_414_TS"	-0.549823163007009
"TGL49_0040_Cf_U_PE_327_TS"	-0.360209161226639
"TGL49_0041_Cf_U_PE_327_TS"	-0.514247142064637
"TGL49_0042_Cf_U_PE_327_TS"	-0.511532526461185
"TGL49_0043_Cf_U_PE_328_TS"	-0.61817486481694
"TGL49_0044_Cf_n_PE_382_TS"	-0.766451124627848
"TGL49_0044_Cf_U_PE_326_TS"	-0.783038229176538
"TGL49_0045_Cf_U_PE_329_TS"	-0.65083304735977
"TGL49_0046_Cf_U_PE_403_TS"	-0.532642780294277
"TGL49_0047_Cf_U_PE_328_TS"	-0.467384661430313
"TGL49_0048_Cf_U_PE_325_TS"	-0.492594017139096
"TGL49_0049_Cf_U_PE_319_TS"	-0.453691626433599
"TGL49_0050_Cf_U_PE_319_TS"	-0.360556437840635
"TGL49_0051_Cf_n_PE_394_TS"	-0.604114285025854
"TGL49_0051_Cf_n_PE_396_TS"	-0.605300072927543
"TGL49_0051_Cf_U_PE_323_TS"	-0.585991606058312
"TGL49_0052_Cf_n_PE_378_TS"	-0.52061771777792
"TGL49_0052_Cf_n_PE_396_TS"	-0.599385345452682
"TGL49_0052_Cf_U_PE_420_TS"	-0.566113852918646
"TGL49_0053_Cf_U_PE_425_TS"	-0.506825040261917
"TGL49_0054_Cf_U_PE_409_TS"	-0.5372625792563
"TGL49_0055_Cf_U_PE_374_TS"	-0.587219526229378
"TGL49_0056_Cf_U_PE_320_TS"	-0.440660363325092
"TGL49_0057_Cf_U_PE_372_TS"	-0.625477688425191
"TGL49_0058_Cf_n_PE_372_TS"	-0.452794106953388
"TGL49_0058_Cf_n_PE_378_TS"	-0.638486307626469
"TGL49_0058_Cf_U_PE_428_TS"	-0.591946488867737
"TGL49_0059_Cf_U_PE_466_TS"	-0.378446501659224
"TGL49_0060_Cf_n_PE_403_TS"	-0.545585637581386
"TGL49_0061_Cf_U_PE_397_TS"	-0.582068487887924
"TGL49_0062_Cf_n_PE_351_TS"	-0.102047072421172
"TGL49_0062_Cf_n_PE_367_TS"	-0.107882107842832
"TGL49_0062_Cf_U_PE_373_TS"	-0.437059130806686
"TGL49_0063_Cf_U_PE_381_TS"	-0.682609994511461
"TGL49_0064_Cf_n_PE_438_TS"	-0.482834486689693
"TGL49_0064_Cf_U_PE_411_TS"	-0.698975575945661
"TGL49_0065_Cf_n_PE_403_TS"	-0.440286620443809
"TGL49_0065_Cf_U_PE_387_TS"	-0.524614978443955
"TGL49_0066_Cf_U_PE_364_TS"	-0.531903837164555
"TGL49_0067_Cf_U_PE_400_TS"	-0.486133154089078
"TGL49_0068_Cf_U_PE_468_TS"	-0.476058942144529
"TGL49_0102_Cf_U_PE_378_TS"	-0.591171207370683
"TGL49_0103_Cf_U_PE_365_TS"	-0.570808847221756
