"length"	"TGL49_0001_Cf_U_PE_309_CM"	"TGL49_0002_Cf_U_PE_314_CM"	"TGL49_0003_Cf_U_PE_317_CM"	"TGL49_0004_Cf_U_PE_317_CM"	"TGL49_0006_Cf_U_PE_314_CM"	"TGL49_0007_Cf_U_PE_323_CM"	"TGL49_0009_Cf_U_PE_309_CM"	"TGL49_0011_Cf_U_PE_321_CM"	"TGL49_0012_Cf_U_PE_311_CM"	"TGL49_0013_Cf_U_PE_313_CM"	"TGL49_0014_Cf_U_PE_311_CM"	"TGL49_0016_Cf_U_PE_306_CM"	"TGL49_0017_Cf_U_PE_304_CM"	"TGL49_0018_Cf_U_PE_312_CM"	"TGL49_0019_Cf_U_PE_309_CM"	"TGL49_0020_Cf_U_PE_314_CM"	"TGL49_0021_Cf_U_PE_309_CM"	"TGL49_0022_Cf_U_PE_310_CM"	"TGL49_0023_Cf_U_PE_308_CM"	"TGL49_0024_Cf_U_PE_303_CM"	"TGL49_0025_Cf_U_PE_308_CM"	"TGL49_0025_Cf_U_PE_319_CM"	"TGL49_0025_Cf_U_PE_328_CM"	"TGL49_0025_Cf_U_PE_329_CM"	"TGL49_0026_Cf_U_PE_318_CM"	"TGL49_0027_Cf_U_PE_309_CM"	"TGL49_0028_Cf_n_PE_392_CM"	"TGL49_0028_Cf_U_PE_310_CM"	"TGL49_0029_Cf_U_PE_313_CM"	"TGL49_0029_Cf_U_PE_368_CM"	"TGL49_0030_Cf_U_PE_312_CM"	"TGL49_0031_Cf_U_PE_320_CM"	"TGL49_0032_Cf_U_PE_308_CM"	"TGL49_0033_Cf_U_PE_310_CM"	"TGL49_0034_Cf_U_PE_307_CM"	"TGL49_0035_Cf_U_PE_313_CM"	"TGL49_0036_Cf_U_PE_320_CM"	"TGL49_0037_Cf_U_PE_311_CM"	"TGL49_0038_Cf_U_PE_300_CM"	"TGL49_0039_Cf_U_PE_322_CM"	"TGL49_0040_Cf_U_PE_321_CM"	"TGL49_0041_Cf_U_PE_311_CM"	"TGL49_0042_Cf_U_PE_313_CM"	"TGL49_0043_Cf_U_PE_319_CM"	"TGL49_0044_Cf_U_PE_319_CM"	"TGL49_0045_Cf_U_PE_317_CM"	"TGL49_0046_Cf_U_PE_318_CM"	"TGL49_0047_Cf_U_PE_317_CM"	"TGL49_0048_Cf_U_PE_315_CM"	"TGL49_0049_Cf_U_PE_319_CM"	"TGL49_0050_Cf_U_PE_317_CM"	"TGL49_0051_Cf_n_PE_2203181_CM"	"TGL49_0051_Cf_n_PE_2203182_CM"	"TGL49_0051_Cf_U_PE_319_CM"	"TGL49_0052_Cf_n_PE_2203181_CM"	"TGL49_0052_Cf_n_PE_2203182_CM"	"TGL49_0052_Cf_U_PE_328_CM"	"TGL49_0053_Cf_U_PE_334_CM"	"TGL49_0054_Cf_U_PE_324_CM"	"TGL49_0055_Cf_U_PE_318_CM"	"TGL49_0056_Cf_U_PE_317_CM"	"TGL49_0057_Cf_U_PE_316_CM"	"TGL49_0058_Cf_n_PE_2203181_CM"	"TGL49_0058_Cf_n_PE_2203182_CM"	"TGL49_0058_Cf_U_PE_322_CM"	"TGL49_0059_Cf_U_PE_321_CM"	"TGL49_0060_Cf_U_PE_315_CM"	"TGL49_0061_Cf_U_PE_316_CM"	"TGL49_0062_Cf_U_PE_317_CM"	"TGL49_0063_Cf_U_PE_321_CM"	"TGL49_0064_Cf_n_PE_220318_CM"	"TGL49_0064_Cf_U_PE_318_CM"	"TGL49_0065_Cf_n_PE_220318_CM"	"TGL49_0065_Cf_U_PE_320_CM"	"TGL49_0066_Cf_U_PE_330_CM"	"TGL49_0067_Cf_U_PE_335_CM"	"TGL49_0068_Cf_U_PE_320_CM"	"TGL49_0087_Cf_U_PE_330_CM"	"TGL49_0092_Cf_U_PE_329_CM"	"TGL49_0097_Cf_U_PE_330_CM"	"TGL49_0098_Cf_U_PE_316_CM"	"TGL49_0101_Cf_U_PE_327_CM"	"TGL49_0102_Cf_U_PE_334_CM"	"TGL49_0103_Cf_U_PE_339_CM"	"TGL49_0105_Cf_U_PE_321_CM"	"TGL49_0106_Cf_U_PE_341_CM"	"TGL49_0107_Cf_U_PE_338_CM"	"TGL49_0109_Cf_U_PE_338_CM"	"TGL49_0110_Cf_U_PE_337_CM"	"TGL49_0111_Cf_U_PE_335_CM"	"TGL49_0113_Cf_U_PE_327_CM"	"TGL49_0115_Cf_U_PE_328_CM"	"TGL49_0117_Cf_U_PE_323_CM"	"TGL49_0119_Cf_U_PE_327_CM"	"TGL49_0119_Cf_U_PE_332_CM"	"TGL49_0121_Cf_U_PE_332_CM"	"TGL49_0123_Cf_U_PE_326_CM"	"TGL49_0125_Cf_U_PE_336_CM"	"TGL49_0126_Cf_U_PE_332_CM"	"TGL49_0127_Cf_U_PE_318_CM"	"TGL49_0128_Cf_U_PE_322_CM"	"TGL49_0130_Cf_U_PE_333_CM"	"TGL49_0131_Cf_U_PE_322_CM"	"TGL49_0132_Cf_U_PE_335_CM"	"TGL49_0133_Cf_U_PE_333_CM"	"TGL49_0134_Cf_U_PE_340_CM"	"TGL49_0209_Cf_U_PE_355_CM"	"TGL49_0210_Cf_U_PE_373_CM"	"TGL49_0211_Cf_n_PE_220318_CM"	"TGL49_0211_Cf_U_PE_369_CM"	"TGL49_0212_Cf_U_PE_357_CM"	"TGL49_0213_Cf_n_PE_377_CM"	"TGL49_0213_Cf_U_PE_365_CM"	"TGL49_0214_Cf_n_PE_366_CM"	"TGL49_0215_Cf_n_PE_383_CM"	"TGL49_0216_Cf_n_PE_363_CM"	"TGL49_0217_Cf_n_PE_368_CM"	"TGL49_0218_Cf_n_PE_354_CM"	"TGL49_0219_Cf_n_PE_380_CM"	"TGL49_0220_Cf_n_PE_356_CM"	"TGL49_0221_Cf_n_PE_374_CM"	"TGL49_0222_Cf_n_PE_390_CM"	"TGL49_0223_Cf_n_PE_382_CM"	"TGL49_0316_Cf_n_PE_393_CM"	"TGL49_0319_Cf_n_PE_369_CM"	"TGL49_0319_Cf_n_PE_381_CM"	"TGL49_0322_Cf_n_PE_373_CM"	"TGL49_0322_Cf_n_PE_380_CM"	"TGL49_0326_Cf_n_PE_376_CM"	"TGL49_0326_Cf_n_PE_382_CM"	"TGL49_0328_Cf_n_PE_378_CM"	"TGL49_0329_Cf_n_PE_394_CM"	"TGL49_0335_Cf_n_PE_395_CM"	"TGL49_0337_Cf_n_PE_406_CM"	"TGL49_0337_Cf_n_PE_408_CM"	"TGL49_0346_Cf_n_PE_353_CM"	"TGL49_0346_Cf_n_PE_397_CM"	"TGL49_0355_Cf_n_PE_353_CM"	"TGL49_0355_Cf_n_PE_369_CM"	"TGL49_0395_Pb_n_PE_362_CM"	"TGL49_0395_Pb_n_PE_363_CM"	"TGL49_0395_Pb_n_PE_414_CM"
"30"	0	0	4778	0	7279	9317	13854	4620	7046	8084	7498	3657	490	10068	1602	9091	0	0	3062	0	2645	0	6037	8175	0	5705	6325	0	0	10195	0	0	13174	749	476	3536	9531	0	0	4214	8342	0	35	55	68	285	7829	8723	165	1062	0	9369	9100	0	8987	6354	191	4956	6054	4117	9211	0	6037	5704	2498	9964	8137	3226	28	91	21134	5928	11696	4496	166	182	6013	7977	8061	6638	6146	6729	2280	0	0	3152	8944	5959	9582	9948	10532	9455	7902	7379	8070	0	7821	8012	16558	8167	7767	0	7256	13332	15519	8232	0	8875	6817	6518	6066	9023	12246	5121	8682	12897	8399	5075	10117	8357	7845	10073	14571	13198	0	0	0	11266	16152	11925	12000	12871	15808	12846	11946	0	13194	0	1058	9809	12136	14451
"31"	0	0	4516	0	6662	8575	13839	4369	6597	7481	6708	3687	466	9772	3988	9376	0	0	2881	0	2612	0	5623	7701	0	7393	6206	0	0	9304	0	0	12068	879	458	3654	9595	0	0	4493	7995	0	96	47	40	240	7364	8162	124	1002	0	9098	8226	0	8219	5530	649	4647	5668	4127	8863	0	5940	6927	2366	9186	9548	2955	42	86	20149	5556	11254	4324	168	203	5751	7422	7187	6751	6053	6422	3579	0	0	3245	8218	6053	8751	9411	9555	8634	7561	7369	7744	0	7100	7029	15173	10658	6953	0	6141	12625	13943	6841	0	8427	6685	6296	5917	8664	12030	4746	8246	12217	8314	4344	9437	7528	7026	9589	13735	12488	0	0	0	11013	14450	10232	11773	12518	14436	12124	11483	0	11988	0	1908	9878	11072	14078
"32"	0	0	4558	0	6766	8957	14447	4603	7085	7324	6669	3757	2116	9504	3862	9707	0	0	2921	0	2561	0	5270	7236	0	6901	6236	0	0	9477	0	0	11676	1105	480	3607	9593	0	0	4390	7821	0	81	46	47	245	6982	8071	288	1666	0	8628	8541	0	8326	6153	593	4754	5383	3853	8996	0	6319	6995	2437	8840	9724	2918	39	107	19279	5704	11094	4157	186	343	5404	7319	6973	6186	5845	6305	3498	0	0	3128	8046	5729	8917	9143	8905	8396	7133	7047	7474	0	6811	6622	13837	9785	6997	0	5905	11982	13387	6829	0	8672	6577	6223	6008	8483	12072	4828	8555	12175	7947	5061	9111	7698	6964	9397	12886	12650	0	0	0	11485	14171	10450	12271	12858	14778	12300	12176	0	12069	0	1838	9425	11017	13510
"33"	0	0	4843	0	6788	8409	14663	4624	8045	7456	7040	3954	2286	10019	3968	10331	0	0	3222	0	2719	0	5500	7662	0	7891	6809	0	0	9957	0	93	11296	1544	548	3695	10200	0	0	4439	8245	0	90	55	45	421	7444	8357	278	5216	0	9329	9071	0	8619	5969	1016	4974	5519	4536	8525	0	6512	8297	2681	9389	9255	3247	50	115	21305	5650	11564	4335	199	304	5892	7471	7227	7645	6126	6240	3770	0	0	3127	8036	5848	9387	9520	9266	8534	7358	6805	7936	0	7152	6801	13594	10063	7006	0	5868	11318	14160	7027	0	8901	6843	6701	6037	8885	11805	5011	8914	12175	8294	6241	10155	7514	7278	10039	13170	12768	0	0	0	11692	14884	10703	12653	13579	15180	12498	11831	0	12954	0	2907	9425	10797	14168
"34"	0	0	5189	0	6970	8881	15426	4989	8511	8354	7741	4133	2243	10638	4512	11674	0	0	3559	0	2885	0	5714	8108	0	12861	7374	0	0	10460	0	542	11220	1716	549	4074	11505	0	0	4807	8837	0	78	49	68	437	7545	8842	690	5592	0	9676	9506	0	9151	6145	2980	5351	6041	4953	9007	0	7007	9253	2704	9835	9860	3626	73	122	22024	5971	12271	4476	163	312	6480	8339	8022	7596	6518	6473	4689	0	0	3273	8448	6054	9894	10122	9659	8848	7596	7030	8432	0	7809	7018	14034	10671	8212	0	6443	11596	14718	7257	0	9417	7366	7035	6523	9165	12174	5228	9598	12967	8752	6563	10785	8228	7837	10588	13872	13183	0	0	0	13299	16499	11138	13959	14923	16743	13472	13292	0	14174	0	4747	10101	12208	14736
"35"	0	0	5501	0	7357	9624	16113	5576	9065	8533	7777	4395	3656	10950	4882	12640	0	0	3742	0	3190	0	6070	7847	0	13124	7624	0	14	11043	0	1275	11928	2319	641	4284	12804	0	0	5242	9218	0	144	80	61	660	8123	9320	1557	6114	0	10285	10118	0	9677	6508	3024	5528	6261	5246	9604	0	7562	10071	2863	10399	10594	3600	65	111	23223	6305	12880	4807	213	381	6674	8442	8209	7649	6601	7133	4994	0	0	3475	8636	6438	9806	10638	9951	9439	7513	7552	8522	77	7848	6918	14657	11032	7912	0	6444	11916	14536	7296	0	9865	7553	7536	7026	9491	13381	5780	9541	13208	9252	7371	11101	8354	8000	10977	14183	13644	0	0	0	13788	16619	11946	14065	15532	16348	13088	13126	0	14236	0	4940	10571	12750	15324
"36"	0	105	5557	0	7506	10403	17472	5801	9762	8766	7614	4629	4072	11515	5371	13011	0	0	4128	0	3466	0	6624	7868	0	13790	8095	0	21	11427	0	1325	12848	6892	679	4493	14214	0	0	5742	9747	0	146	98	71	1321	8817	10026	1674	8582	0	10706	10211	0	10368	7139	3295	5730	6604	5735	10290	0	8296	11017	2985	10658	11432	3683	74	116	24298	6440	13593	5230	163	413	6402	8493	8261	8443	7209	7365	5396	0	0	3618	9433	6397	10077	10609	10327	9710	7874	7805	8450	98	8018	7634	14329	11752	8321	0	6246	12085	15921	7526	0	10451	8082	7956	7848	10195	14418	6078	10042	14524	9914	8311	11327	8733	8311	11988	15549	14738	0	0	0	15349	17524	12509	14772	16153	17330	14242	13717	0	14264	454	6881	11570	13061	15750
"37"	0	120	6165	0	8461	11581	19155	6576	11084	9599	8271	5399	4498	12663	6054	14152	0	0	4490	0	3937	0	6727	8545	0	14963	8324	0	127	12135	0	1622	14502	8210	888	5131	16062	0	0	6749	10816	0	193	120	106	1513	10035	11414	2678	10192	0	11706	11209	0	10952	7888	6689	6349	7603	6604	11698	0	9098	12630	3429	11967	12936	3976	76	137	26349	7036	14606	6019	210	426	6820	9203	8941	9594	7937	8306	6046	0	0	4005	10273	7253	10490	11341	11193	10129	8512	8592	9624	1000	8534	8020	16618	12724	8257	0	7026	12809	17410	8030	0	11274	8884	8417	7884	10772	15517	6512	10849	16395	10757	9221	12120	9426	8963	12705	17017	16801	0	0	0	15353	18962	13738	15630	17474	18593	15069	14921	0	15842	503	8311	12933	14131	16412
"38"	0	431	7208	0	9527	13452	21355	7484	12295	11024	9499	6341	5507	14360	7085	15697	0	0	4990	0	4506	0	7871	9189	0	16906	9439	0	128	13635	0	6931	16993	9399	936	5830	18388	0	0	7799	12681	0	244	113	105	2859	11863	13132	6291	12056	0	13002	12953	0	13005	9229	7999	7148	8953	7684	13970	0	10346	14068	3380	13460	15060	4727	65	229	28846	8066	16425	7205	295	456	7468	10540	9974	11563	8998	9880	7247	0	0	4616	11722	8714	12300	12927	12831	11440	9789	10022	10233	1216	9842	9273	19230	15105	9412	0	7648	14941	19885	9251	0	12913	9927	9123	9370	12482	17764	7412	11625	19006	12255	10872	13416	11162	10414	14229	19327	18935	0	0	0	16836	20914	15663	17885	19266	21129	17111	16319	0	17365	5096	9081	14962	15808	18251
"39"	0	534	7843	0	10712	16191	23788	8377	14125	12640	10307	7682	6563	15597	8865	17211	0	0	5546	534	5391	0	9021	10505	0	18582	10271	0	2133	14915	0	7933	19862	12336	1044	6802	20888	0	0	9293	14757	0	302	119	131	6764	13780	15530	7481	14041	0	14530	14507	0	14556	10881	9862	8292	10647	9092	16262	0	11080	16175	3894	15926	17646	5159	112	300	32107	9250	18376	8257	529	624	8260	12031	11644	13565	10381	11387	8087	0	0	5013	13093	10157	13853	15046	14128	13213	11495	12207	12221	1338	10887	10483	22201	17464	10115	0	8821	17824	22293	10359	0	14152	11017	10206	10322	14054	20015	8464	12875	22101	13954	12988	14673	11838	11668	15766	22318	21823	0	0	0	18672	24064	18298	19603	21244	23314	19172	17617	0	19700	6998	11318	17698	18147	20109
