"length"	"TGL49_0196_Ct_T_PE_319_CM"	"TGL49_0197_Ct_T_PE_313_CM"	"TGL49_0198_Ct_T_PE_312_CM"	"TGL49_0199_Ct_T_PE_312_CM"	"TGL49_0200_Ct_T_PE_310_CM"	"TGL49_0201_Cf_R_PE_423_CM"	"TGL49_0201_Ct_T_PE_318_CM"	"TGL49_0255_Ct_n_PE_220318_CM"	"TGL49_0256_Ct_n_PE_220318_CM"	"TGL49_0257_Ct_n_PE_220318_CM"	"TGL49_0258_Ct_n_PE_220318_CM"	"TGL49_0259_Ct_n_PE_220318_CM"	"TGL49_0260_Ct_n_PE_220318_CM"	"TGL49_0261_Ct_n_PE_220318_CM"	"TGL49_0263_Ct_n_PE_220318_CM"	"TGL49_0264_Pb_U_PE_414_CM"	"TGL49_0265_Pb_U_PE_421_CM"	"TGL49_0266_Pb_U_PE_379_CM"	"TGL49_0267_Cf_R_PE_389_CM"	"TGL49_0267_Pb_U_PE_412_CM"	"TGL49_0268_Pb_U_PE_378_CM"	"TGL49_0301_Cf_R_PE_431_CM"	"TGL49_0302_Cf_R_PE_394_CM"	"TGL49_0303_Cf_R_PE_403_CM"	"TGL49_0304_Cf_R_PE_387_CM"	"TGL49_0305_Cf_R_PE_417_CM"	"TGL49_0306_Cf_R_PE_375_CM"	"TGL49_0307_Cf_R_PE_388_CM"
"30"	13135	12426	7908	8114	8576	2023	0	9930	8389	10502	6	5534	9011	5541	8724	128	1159	0	183	2698	0	4394	17	0	0	4555	0	0
"31"	11946	10996	7294	7395	8195	1841	0	9538	8082	9267	22	5095	8375	5108	8128	153	1039	0	263	2355	0	4574	17	0	0	3906	0	0
"32"	11608	10785	6922	7020	7734	2143	0	9607	7493	9747	182	5492	8474	5469	8003	172	1267	0	245	2619	0	4671	96	0	0	4386	0	0
"33"	12268	11134	7118	7254	8310	2197	0	9972	8144	10045	248	5386	8619	5379	8185	156	1326	0	256	2970	12	4749	91	0	0	4260	0	15
"34"	13399	11996	7772	8113	8649	2202	0	10732	8472	10726	240	5703	9462	5780	8471	298	1484	0	367	3010	17	5136	89	0	0	4566	0	11
"35"	13917	12617	8254	8744	9007	2343	0	10669	9038	11070	1524	5920	9677	6212	8112	312	1624	0	408	3023	68	5600	190	0	0	4920	0	44
"36"	14158	14252	9124	9447	9651	2532	0	11592	9489	11353	2319	6460	10367	6524	8833	397	1747	0	435	3557	44	5730	234	0	0	5062	0	56
"37"	16000	16595	10354	10789	10680	2668	0	12247	9737	12210	2357	6880	10525	7141	9439	613	1889	0	717	3661	67	6353	284	0	37	5151	0	35
"38"	18034	19897	12412	12402	12324	2990	0	13573	11134	13459	4855	8166	11940	8280	10520	638	2200	0	833	4385	185	7131	500	0	126	5758	0	91
"39"	21566	26493	14366	15191	15185	3165	0	15105	12262	14788	6164	8682	13284	8840	11571	904	2269	0	935	4839	173	8130	626	0	381	6464	0	112
"40"	24624	32411	15925	18303	17392	4466	0	16572	13793	16441	7774	10889	15033	11571	12438	1648	3336	0	1978	6136	199	8899	791	0	466	7999	0	148
"41"	22538	29203	15108	16798	15750	3274	0	15856	12801	15172	7340	9599	13295	9824	11541	1156	2428	0	1718	5252	309	8527	1164	0	777	6650	0	177
"42"	19112	20555	13469	12774	13248	3551	0	15642	12898	15237	8066	9459	13460	9585	11194	1722	2609	0	1777	5097	308	8379	1059	0	948	6750	0	196
"43"	18554	18502	13188	12680	13246	3553	0	15033	12799	14625	7406	9157	13531	9360	10955	1755	2680	0	2644	4989	395	8212	1455	0	997	6558	0	177
"44"	19125	18859	14178	12270	13634	4260	0	16451	13507	15898	8875	10065	14766	10363	11887	2277	3043	0	2862	5670	786	8610	2923	0	1861	7277	0	354
"45"	19222	19005	14592	12863	13870	3883	0	16450	13329	15449	8392	9859	14122	10056	11058	2217	2887	0	3008	5671	733	8552	2728	0	1913	7259	0	331
"46"	19221	19845	14823	13173	13844	3840	0	16217	13202	15638	8230	9856	14385	10309	11464	2170	2930	0	3699	5545	1241	8479	3550	0	2094	7198	0	353
"47"	20111	21771	16133	14648	15085	3650	0	16674	13913	16018	8352	10093	14614	10409	11873	2240	2934	0	3647	5331	1851	8370	4758	57	4598	7381	0	573
"48"	22663	25981	19206	17286	17680	4248	0	18559	15386	17662	9377	11347	16071	12094	12825	2788	3288	0	4619	6340	2183	9936	5987	82	5063	8074	0	656
"49"	25930	29695	22095	19388	20281	4866	0	21073	17809	20114	10894	12999	18588	13872	14548	3123	3463	8	5562	6785	3481	10462	8184	199	7607	9448	0	1029
"50"	26872	30462	23434	20337	21266	4702	0	22393	17888	21073	11198	13677	19704	14396	15101	3169	3579	32	6053	7313	4239	11332	8578	277	12480	9548	0	1524
"51"	24524	27490	21108	18778	19208	4739	0	21193	17074	20214	10795	13112	18412	13683	14444	3692	3700	78	7045	6672	4158	10488	9278	299	12429	9189	121	1644
"52"	22900	25126	19072	17163	17967	4730	0	20601	16636	20088	11052	12918	17955	12815	13688	3945	3862	76	7017	6599	5025	10459	10331	655	14039	9159	140	2074
"53"	23284	24231	19340	16843	17726	4846	415	20384	16112	19660	10339	12225	17998	12391	13307	3817	3808	198	6677	6849	4791	10304	10291	719	15289	8831	1026	2173
"54"	23897	24829	20007	17136	18410	5446	465	22036	17415	21551	11531	13908	19675	14118	14099	5245	4541	346	8636	7355	5650	11115	11531	837	17212	9237	1842	2761
"55"	24731	25033	21109	17354	18627	5044	11092	21306	16992	21186	11407	13396	19217	13659	14198	4811	4235	344	8630	7534	7065	11605	11309	1585	22306	9706	1932	2778
"56"	25437	26452	22316	18103	19366	5523	12084	22651	17293	21775	11940	13791	19703	14660	14450	5086	4088	965	9223	7901	7414	11772	12366	1597	22629	9882	5707	3114
"57"	25888	27792	23975	18977	20241	5451	12663	23117	18320	23007	12611	14493	20441	15119	15105	5366	4224	1044	9808	7908	7837	11884	12779	1791	24126	10044	6307	3169
"58"	29750	32864	27261	22284	23775	6303	15574	26155	20574	26214	14309	16911	24106	17711	16986	6013	4906	1164	10766	8616	9469	13147	14962	2983	29127	11545	9644	4220
"59"	36441	43455	33797	27967	29690	7150	19297	31964	26101	32161	17946	20706	29864	22878	20780	7777	5839	3489	13267	10459	12062	16181	19943	3778	37862	13983	21988	5800
"60"	41809	51926	38843	33181	35069	7247	22104	34784	29209	35461	19810	22640	32887	25223	23728	7264	5712	3460	14465	10620	12909	17408	21744	4537	40904	15473	24607	5721
"61"	40859	50697	37441	32576	34241	7261	22422	34013	28321	34520	19343	22559	31906	24971	23509	7636	5691	3939	14285	10781	12621	16948	20753	5100	41844	14990	33983	7170
"62"	33368	37873	30683	25708	26572	6739	18008	29333	23761	29601	17013	19135	27417	20469	19222	7089	5306	4970	12365	9780	11343	14764	17915	4826	34859	13605	30477	6439
"63"	29038	30753	25990	20857	22178	6939	15526	26401	21563	27556	15673	16986	25371	18113	17159	7218	5956	4727	11646	9336	10628	15232	15899	5541	30775	12249	26598	6284
"64"	29312	30048	25733	21231	22105	7674	15052	28347	22861	29309	16649	18832	28440	19804	17335	8609	6468	6784	11883	10132	11210	16573	16902	6530	33201	13077	27895	7206
"65"	28417	28718	24875	20488	21456	6651	14677	25496	20324	26415	14264	16961	24868	17661	16209	7047	5744	6462	11285	9013	9810	14385	15597	5772	29688	12618	26928	6223
"66"	27831	28814	25429	21114	21733	6911	14954	26283	21000	26956	15401	17832	25307	17841	16815	7329	5911	7009	11454	9375	10402	14787	16017	6014	30902	12575	27617	6550
"67"	29000	30183	26811	21839	22999	7072	16781	26899	21481	27206	16053	17732	26060	18780	17347	7345	6163	7429	12028	9438	10937	14969	17174	6114	31946	13106	28875	6556
"68"	32219	35801	30700	24791	26226	7944	18326	30503	24980	32452	17987	20635	29828	21773	19906	8519	6732	8447	13604	10824	13127	16839	19533	7124	36861	15093	32071	7921
"69"	40625	48749	39000	32437	34606	9125	22285	36687	30352	37892	21641	25122	36733	26898	23986	10389	7693	10248	16194	12266	15769	19233	24595	8363	45500	17762	38993	9145
"70"	50354	64665	47591	41799	44753	10307	27460	43666	36411	44679	25494	29709	43180	32897	28886	11977	8598	11588	19179	14195	19183	21923	29687	9044	54071	20810	48291	10742
"71"	51419	66146	50392	43162	47426	10356	29985	46747	39696	47998	27389	32259	46367	35833	32097	12197	8786	12324	20936	15070	20777	23476	31664	10045	59492	22410	52795	11682
"72"	46434	58181	47422	40364	43850	10460	28982	45934	39266	47800	27251	31699	45394	35678	31154	12341	9160	12627	20453	15169	20277	22783	31991	9845	58354	22243	51894	11539
"73"	37726	44812	37775	31733	34921	9909	24178	39382	33490	41055	24051	27602	40207	29323	26256	11790	8563	11239	17844	13818	17645	20915	26727	8865	50491	19417	43088	10497
"74"	33592	37139	33816	27344	30411	10273	21556	37605	31300	40557	23952	27275	40478	28960	24889	13031	9408	12268	17309	13136	17583	21375	25623	9566	49002	19135	40895	11388
