Chromosome	Gene	Start	End	type	number
chr17	TP53	7668331	7668451	exon	11
chr17	TP53	7668451	7668570	exon	11
chr17	TP53	7668673	7668793	exon	11
chr17	TP53	7668836	7668956	exon	11
chr17	TP53	7668940	7669060	exon	11
chr17	TP53	7669044	7669163	exon	11
chr17	TP53	7669224	7669344	exon	11
chr17	TP53	7669344	7669464	exon	11
chr17	TP53	7669464	7669584	exon	11
chr17	TP53	7669584	7669704	exon	11
chr17	TP53	7669789	7669909	intron	d
chr17	TP53	7670602	7670722	exon	10
chr17	TP53	7673199	7673319	intron	c
chr17	TP53	7673249	7673369	intron	c
chr17	TP53	7673511	7673631	exon	9
chr17	TP53	7673648	7673768	exon	8
chr17	TP53	7673768	7673888	exon	8
chr17	TP53	7674175	7674295	exon	7
chr17	TP53	7674732	7674852	exon	6
chr17	TP53	7674854	7674974	exon	6
chr17	TP53	7675051	7675171	exon	5
chr17	TP53	7675171	7675291	exon	5
chr17	TP53	7675291	7675410	intron	b
chr17	TP53	7675953	7676073	exon	4
chr17	TP53	7676073	7676193	exon	4
chr17	TP53	7676193	7676313	exon	4
chr17	TP53	7676321	7676441	exon	3
chr17	TP53	7676441	7676561	exon	2
chr17	TP53	7676561	7676681	exon	2
chr17	TP53	7679709	7679829	intron	a
chr17	TP53	7687342	7687462	exon	1
chr17	TP53	7687462	7687582	exon	1
